17	46	3
22	6	6
74	18	6
6	8	5
11	47	1
94	16	7
7	32	8
52	19	8
45	40	2
46	45	0
30	19	0
70	24	7
46	39	7
67	30	2
56	39	3
16	36	2
90	0	6
30	36	5
46	12	7
1	30	8
28	36	8
32	46	8
31	27	8
58	37	8
68	12	8
73	9	8
13	44	6
35	2	6
2	10	1
40	39	2
73	40	6
52	31	1
23	42	4
20	43	7
85	31	4
30	36	5
79	3	0
98	45	4
8	36	0
13	25	2
30	6	3
8	48	5
52	40	8
48	37	3
30	1	3
30	20	1
20	28	3
43	8	2
34	31	4
83	30	1
80	31	3
29	15	8
58	45	2
30	14	7
14	44	8
99	24	6
46	7	2
51	30	0
52	32	2
29	11	0
94	40	7
76	20	2
37	24	4
62	31	2
37	31	0
35	3	1
89	33	4
53	19	0
46	2	3
9	20	7
12	17	7
64	35	0
89	25	5
83	7	2
36	8	2
28	48	2
80	28	2
79	0	2
34	17	1
26	48	7
91	3	2
42	1	4
31	25	4
86	38	5
49	41	2
74	42	8
2	21	6
88	30	6
91	10	2
71	32	0
7	8	0
55	25	2
65	32	5
20	26	8
4	33	4
40	34	2
41	41	1
90	48	6
92	20	3
78	6	2
94	34	1
48	40	1
79	21	2
93	41	5
1	8	8
76	37	6
99	34	4
13	24	2
29	1	1
82	2	8
16	18	0
44	24	7
78	45	3
36	0	7
20	32	8
66	35	8
44	21	4
45	6	5
59	9	1
17	18	7
40	41	6
43	44	3
82	41	4
91	32	8
64	2	4
36	39	6
49	1	3
98	40	8
91	41	4
4	13	5
22	7	4
29	32	7
84	0	8
3	37	6
4	26	4
98	22	4
35	21	2
89	34	5
65	2	7
75	33	0
25	30	4
10	22	5
12	18	8
74	35	6
44	35	0
64	8	8
55	29	5
27	44	6
20	14	0
92	43	1
18	0	5
49	22	7
23	31	5
69	2	7
44	48	3
3	41	6
61	42	1
26	5	3
96	7	5
74	2	0
24	24	3
66	5	5
33	27	3
72	40	0
47	14	2
62	22	2
56	33	5
32	44	5
44	3	5
44	17	6
53	39	4
30	23	3
13	14	3
27	9	4
24	30	5
69	44	8
39	25	5
40	10	5
1	9	8
85	13	3
40	10	0
45	25	3
88	2	4
22	20	4
15	5	0
24	20	2
67	49	0
69	28	2
75	16	3
66	49	7
18	4	4
62	49	5
77	21	1
56	13	7
46	47	4
80	26	4
1	15	7
4	37	4
72	12	7
75	25	3
